id,title,city,location,beds_number,bathrooms,price,living_area,land_area,parking_places,distance_from_sea,new_construction,air_conditioning,link,mobile_phone,last_update,published_by
2778859 (ALG-776),Prodajem Kuću,Fažana,"Fažana, Hrvatska",3,0,520000.0,164.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2778859,+385953631892,"15 May, 2022",AlphaLuxeGroup
3015855 (ALG-1522),Prodajem Kuću,Pula,"Pula, Hrvatska",3,0,520000.0,145.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3015855,+385953631892,"9 May, 2023",AlphaLuxeGroup
2974408 (ALG-1250),Prodajem Kuću,Ližnjan,"Ližnjan, Hrvatska",3,0,520000.0,141.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2974408,+385953631892,"10 Mar, 2023",AlphaLuxeGroup
3194315 (ALG-2392),Prodajem Kuću,Pula,"Pula, Hrvatska",5,0,519000.0,220.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3194315,+385953631892,"29 Jan, 2024",AlphaLuxeGroup
3188936 (ALG-2396),Prodajem Kuću,Cerovlje,"Novaki Pazinski, Hrvatska",2,0,519000.0,100.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3188936,+385953631892,"22 Jan, 2024",AlphaLuxeGroup
3166712 (ALG-2334),Prodajem Kuću,Buzet,"Buzet, Hrvatska",7,0,510000.0,200.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3166712,+385953631892,"16 Dec, 2023",AlphaLuxeGroup
3057220 (ALG-1946),Prodajem Kuću,Umag,"Umag, Hrvatska",3,0,510000.0,141.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3057220,+385953631892,"10 Jul, 2023",AlphaLuxeGroup
3251412 (108-1),Prodajem Stan-Apartman,Umag,,4,2,510000.0,93.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3251412,+385913030770,"25 Mar, 2024",collegium
2778844 (ALG-751),Prodajem Kuću,Žminj,"Žminj, Hrvatska",2,0,510000.0,90.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2778844,+385953631892,"15 May, 2022",AlphaLuxeGroup
2772161 (ALG-705),Prodajem Stan-Apartman,Rovinj,"Rovinj, Hrvatska",2,0,510000.0,85.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2772161,+385953631892,"3 May, 2022",AlphaLuxeGroup
2848774 (ALG-1205),Prodajem Građevinsko Zemljište,Poreč,"Poreč, Hrvatska",0,0,504000.0,0.0,7200.0,0,0,False,False,https://www.realitica.com/hr/listing/2848774,+385953631892,"4 Sep, 2022",AlphaLuxeGroup
3189884 (ALG-2311),Prodajem Kuću,Pazin,"Pazin, Hrvatska",3,0,500000.0,280.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3189884,+385953631892,"23 Jan, 2024",AlphaLuxeGroup
3015847 (ALG-1516),Prodajem Kuću,Višnjan,"Višnjan, Hrvatska",3,0,500000.0,214.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3015847,+385953631892,"9 May, 2023",AlphaLuxeGroup
2974413 (ALG-1254),Prodajem Kuću,Svetvinčenat,"Svetvinčenat, Hrvatska",4,0,500000.0,200.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2974413,+385953631892,"10 Mar, 2023",AlphaLuxeGroup
3009930 (ALG-1476),Prodajem Kuću,Barban,"Barban, Hrvatska",3,0,500000.0,160.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3009930,+385953631892,"28 Apr, 2023",AlphaLuxeGroup
2832203 (ALG-972),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,500000.0,147.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2832203,+385953631892,"5 Aug, 2022",AlphaLuxeGroup
2624556 (ALG-271),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,500000.0,129.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2624556,+385953631892,"11 Aug, 2021",AlphaLuxeGroup
3026339 (ALG-905),Prodajem Kuću,Medulin,"Medulin, Hrvatska",5,0,499900.0,280.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3026339,+385953631892,"24 May, 2023",AlphaLuxeGroup
3015859 (ALG-1541),Prodajem Kuću,Svetvinčenat,"Svetvinčenat, Hrvatska",3,0,499000.0,155.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3015859,+385953631892,"9 May, 2023",AlphaLuxeGroup
3154645 (ALG-2297),Prodajem Kuću,Vodnjan,"Vodnjan, Hrvatska",0,0,499000.0,150.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3154645,+385953631892,"30 Nov, 2023",AlphaLuxeGroup
2981017 (ALG-1325),Prodajem Kuću,Kaštelir-Labinci,"Kaštelir, Hrvatska",4,0,499000.0,128.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2981017,+385953631892,"19 Mar, 2023",AlphaLuxeGroup
3186452 (ALG-2329),Prodajem Kuću,Labin,"Labin, Hrvatska",2,0,499000.0,125.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3186452,+385953631892,"18 Jan, 2024",AlphaLuxeGroup
3188931 (ALG-1932),Prodajem Kuću,Poreč,"Poreč, Hrvatska",3,0,499000.0,120.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3188931,+385953631892,"22 Jan, 2024",AlphaLuxeGroup
3266990,Prodajem Kuću,Poreč,,3,0,499000.0,0.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3266990,098 411 430,"11 Apr, 2024",habitare
3175098 (XML-4482-456778),Prodajem Kuću,Pićan,"Pićan,Croatia",0,0,495000.0,220.0,600.0,0,0,False,False,https://www.realitica.com/hr/listing/3175098,+385 911106276,"16 Jan, 2024",360istria
2974448 (ALG-1319),Prodajem Kuću,Medulin,"Medulin, Hrvatska",3,0,495000.0,195.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2974448,+385953631892,"10 Mar, 2023",AlphaLuxeGroup
2832198 (ALG-934),Prodajem Kuću,Labin,"Labin, Hrvatska",4,0,495000.0,192.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2832198,+385953631892,"5 Aug, 2022",AlphaLuxeGroup
3011201 (ALG-1176),Prodajem Kuću,Kaštelir-Labinci,"Labinci, Hrvatska",4,0,490000.0,150.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3011201,+385953631892,"2 May, 2023",AlphaLuxeGroup
3257198 (17255),Prodajem Stan-Apartman,Ližnjan,"Ližnjan, Hrvatska",2,2,490000.0,130.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3257198,+385916115706,"29 Mar, 2024",ALMA
2974405 (ALG-1248),Prodajem Kuću,Marčana,"Marčana, Hrvatska",2,0,490000.0,127.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2974405,+385953631892,"10 Mar, 2023",AlphaLuxeGroup
3154642 (ALG-2292),Prodajem Kuću,Buzet,"Buzet, Hrvatska",2,0,490000.0,80.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3154642,+385953631892,"30 Nov, 2023",AlphaLuxeGroup
2974444 (ALG-1311),Prodajem Kuću,Poreč,"Poreč, Hrvatska",5,0,485000.0,265.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/2974444,+385953631892,"10 Mar, 2023",AlphaLuxeGroup
3188929 (ALG-1843),Prodajem Kuću,Labin,"Labin, Hrvatska",3,0,485000.0,140.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3188929,+385953631892,"22 Jan, 2024",AlphaLuxeGroup
3181477 (ALG-2403),Prodajem Kuću,Ližnjan,"Ližnjan, Hrvatska",6,0,483000.0,280.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3181477,+385953631892,"11 Jan, 2024",AlphaLuxeGroup
3178096 (ALG-2389),Prodajem Kuću,Oprtalj,"Oprtalj, Hrvatska",3,0,480000.0,220.0,0.0,0,0,False,False,https://www.realitica.com/hr/listing/3178096,+385953631892,"5 Jan, 2024",AlphaLuxeGroup
